iter	Logloss
0	0.687376732
1	0.6814969581
2	0.6756805572
3	0.6702965014
4	0.6643607832
5	0.6592715255
6	0.6548366331
7	0.6511321392
8	0.6459225854
9	0.6410448744
10	0.6367885526
11	0.6311624116
12	0.626645375
13	0.6223965972
14	0.617426225
15	0.6128578366
16	0.6086941898
17	0.6033291331
18	0.5993622297
19	0.5950169891
20	0.5907345282
21	0.5866757238
22	0.5828470252
23	0.5797064099
24	0.5762582475
25	0.5725260482
26	0.5684675466
27	0.5648972773
28	0.5617650583
29	0.5584614603
30	0.5559576821
31	0.5528170782
32	0.5500683471
33	0.5470599078
34	0.5445533393
35	0.5411863638
36	0.5376789545
37	0.5346920626
38	0.5321764097
39	0.530345386
40	0.5275370733
41	0.5247111279
42	0.5221302806
43	0.5196463547
44	0.5170417338
45	0.514032214
46	0.5115904923
47	0.5094177967
48	0.5068678744
49	0.504558115
50	0.5021062904
51	0.5003727406
52	0.4981624053
53	0.4960315047
54	0.4945480609
55	0.492731309
56	0.4907923223
57	0.4884517787
58	0.4861336577
59	0.4836450655
60	0.4818081902
61	0.4800529134
62	0.4781675103
63	0.4760303805
64	0.4741261967
65	0.4730502604
66	0.4709701682
67	0.4691692295
68	0.4676219995
69	0.4660347749
70	0.4645807379
71	0.4631738694
72	0.4617429449
73	0.460344783
74	0.4587146775
75	0.4570154397
76	0.4553157525
77	0.4534157034
78	0.4519658514
79	0.4507445601
80	0.4497087612
81	0.4481490474
82	0.4466679774
83	0.4449912876
84	0.4437312718
85	0.4423900313
86	0.4414837208
87	0.4396847847
88	0.4381918131
89	0.4370406013
90	0.4356047529
91	0.4345120724
92	0.4334530624
93	0.4326236706
94	0.4314633165
95	0.4302140897
96	0.4289331274
97	0.4279042249
98	0.4268513814
99	0.4253038111
100	0.4242132764
101	0.4229359562
102	0.4217746027
103	0.4205466228
104	0.419752896
105	0.4188629177
106	0.4174549512
107	0.416348112
108	0.4154320608
109	0.4147144771
110	0.413789158
111	0.4126533786
112	0.4112971203
113	0.4105807132
114	0.4094649867
115	0.4086559951
116	0.407967704
117	0.4071996569
118	0.4063959039
119	0.4056757714
120	0.404669308
121	0.4037354943
122	0.4026194685
123	0.4013974462
124	0.4005634623
125	0.3997056312
126	0.3988343497
127	0.3982071561
128	0.3976809469
129	0.3970043417
130	0.3959319232
131	0.395190476
132	0.3945941211
133	0.3940423027
134	0.3937400623
135	0.3931219847
136	0.3922914126
137	0.3916147635
138	0.3910802783
139	0.3904064658
140	0.3897275685
141	0.3889829751
142	0.388350085
143	0.3876437102
144	0.3870620594
145	0.3863713326
146	0.3855911525
147	0.3846523252
148	0.384205734
149	0.3837789248
150	0.3829377967
151	0.3823306363
152	0.3817199037
153	0.3812465661
154	0.3804549269
155	0.3798080426
156	0.379493712
157	0.3788829381
158	0.3783950017
159	0.3781265974
160	0.3774999384
161	0.376920808
162	0.3764004088
163	0.3760593705
164	0.3751130792
165	0.3744864076
166	0.3740027327
167	0.3732577305
168	0.3725364998
169	0.3718450685
170	0.3713573171
171	0.3706717126
172	0.3701444867
173	0.3695680937
174	0.3691329646
175	0.3686896672
176	0.3681255816
177	0.3678825358
178	0.3674658223
179	0.3672144078
180	0.3669738568
181	0.3664034018
182	0.3662134025
183	0.3656924293
184	0.365112276
185	0.3645561546
186	0.3642484227
187	0.3640439294
188	0.3634332185
189	0.3628263718
190	0.3622441331
191	0.3617126873
192	0.3612067268
193	0.3607220143
194	0.3602114232
195	0.3597890656
196	0.3595510228
197	0.358696859
198	0.3583794202
199	0.3578564921
200	0.3572598689
201	0.3567934126
202	0.3562386493
203	0.3558101015
204	0.3553790807
205	0.3547457727
206	0.3542942551
207	0.3537346266
208	0.3532408938
209	0.352985264
210	0.3527545453
211	0.3523681356
212	0.3520776805
213	0.3516190158
214	0.3512598882
215	0.3509222829
216	0.3504792897
217	0.3497926801
218	0.3493886971
219	0.3490873139
220	0.3486915007
221	0.3483942061
222	0.348006618
223	0.3476017202
224	0.3473233199
225	0.3470654278
226	0.3467812267
227	0.3465184367
228	0.3461876462
229	0.3458726297
230	0.3455678538
231	0.345203239
232	0.3448268416
233	0.3442722
234	0.343969354
235	0.3436700459
236	0.3432061023
237	0.3429055564
238	0.3424160241
239	0.3419897664
240	0.3416077375
241	0.3412453862
242	0.3408025153
243	0.3404373319
244	0.3401757385
245	0.3396240933
246	0.3392456778
247	0.3390260844
248	0.3388237767
249	0.3383712976
250	0.3380026039
251	0.3377204755
252	0.337449113
253	0.3371435982
254	0.336913574
255	0.3365470319
256	0.3361649086
257	0.3359662187
258	0.3356421109
259	0.3351419778
260	0.3348594447
261	0.3344282619
262	0.3340064123
263	0.3335299655
264	0.3332056011
265	0.332885271
266	0.332417372
267	0.3320800995
268	0.331744398
269	0.3313107533
270	0.3310409847
271	0.3308597559
272	0.3304821591
273	0.3301080515
274	0.3298140297
275	0.3293776256
276	0.3291126591
277	0.3287535042
278	0.3286024441
279	0.3281223249
280	0.3276110302
281	0.3274946647
282	0.327126116
283	0.3268567706
284	0.3266006709
285	0.3261493387
286	0.3259178977
287	0.3257085534
288	0.3254196856
289	0.3251876049
290	0.3247000933
291	0.324368689
292	0.3239124927
293	0.3236617221
294	0.3233863875
295	0.3231200989
296	0.3225880449
297	0.3222065159
298	0.3217712036
299	0.3215414378
300	0.3211157204
301	0.320808378
302	0.3203061496
303	0.3200604778
304	0.3199481143
305	0.3196244402
306	0.3193179941
307	0.3190051636
308	0.3186813981
309	0.3182517603
310	0.3179861527
311	0.3176325668
312	0.317290095
313	0.3170312606
314	0.3165287048
315	0.3162492401
316	0.3159159268
317	0.3156420693
318	0.3154247458
319	0.3149492387
320	0.3146965593
321	0.3144340157
322	0.3140034595
323	0.3138117049
324	0.3136127626
325	0.313318626
326	0.3130985225
327	0.3128362147
328	0.3123904951
329	0.3121655076
330	0.3119607648
331	0.3117871343
332	0.3115156109
333	0.3111445064
334	0.3108383986
335	0.3106002224
336	0.3103530634
337	0.3098790292
338	0.3098378381
339	0.3096598159
340	0.3094777443
341	0.3091805408
342	0.3090678396
343	0.3085478467
344	0.3084113079
345	0.308185513
346	0.3079163023
347	0.3075151441
348	0.3070711279
349	0.3068969611
350	0.3066861296
351	0.3065742664
352	0.3064066598
353	0.3062185255
354	0.3060910693
355	0.3057331315
356	0.3055853323
357	0.3054696469
358	0.3052194326
359	0.3048047973
